time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0.09999084,0.7799997,11330,-420,0.12,-739.22,False,0,0,0,0,0
0.52005,4.055998,11330,-416.8,0.12,-735.944,False,0,0,0,0,0
1.016251,7.800001,11330,-416.8,0.12,-732.2,False,0,0,0,0,0
1.50914,11.7,11330,-416.8,0.12,-728.3,False,0,0,0,0,0
2.009659,15.60001,11330,-416.8,0.12,-724.4,False,0,0,0,0,0
2.50087,19.50001,11330,-416.8,0.12,-720.5,False,0,0,0,0,0
3.000183,23.40001,11330,-416.8,0.12,-716.6,False,0,0,0,0,0
3.500259,27.30002,11330,-416.8,0.12,-712.7,False,0,0,0,0,0
4.015472,31.20002,11330,-416.8,0.12,-708.8,False,0,0,0,0,0
4.510254,35.09999,11330,-416.8,0.12,-704.9,False,0,0,0,0,0
5.012924,38.99994,11330,-416.8,0.12,-701.0001,False,0,0,0,0,0
5.505768,42.8999,11330,-416.8,0.12,-697.1001,False,0,0,0,0,0
6.01564,46.79985,11330,-416.8,0.12,-693.2001,False,0,0,0,0,0
6.504822,50.69981,11330,-416.8,0.12,-689.3002,False,0,0,0,0,0
7.013153,54.59977,11330,-416.8,0.12,-685.4002,False,0,0,0,0,0
7.51889,58.65572,11330,-416.8,0.12,-681.3443,False,0,0,0,0,0
8.005081,62.39968,11330,-416.8,0.12,-677.6003,False,0,0,0,0,0
8.500061,66.29964,11330,-416.8,0.12,-673.7004,False,0,0,0,0,0
9.002136,70.19959,11330,-416.8,0.12,-669.8004,False,0,0,0,0,0
9.512329,74.09955,11330,-416.8,0.12,-665.9005,False,0,0,0,0,0
10.00035,77.9995,11330,-416.8,0.12,-662.0005,False,0,0,0,0,0
10.51149,81.89946,11330,-416.8,0.128,-658.1005,False,0,0,0,0,0
11.00801,85.79942,11330,-416.8,0.128,-654.2006,False,0,0,0,0,0
11.50476,89.69937,11330,-416.8,0.128,-650.3006,False,0,0,0,0,0
12.01132,93.59933,11330,-416.8,0.128,-646.4007,False,0,0,0,0,0
12.50478,97.49928,11330,-416.8032,0.128,-642.4968,False,0,0,0,0,0
13.01733,101.3992,11330,-416.7924,0.128,-638.6212,False,0,0,0,0,0
13.51611,105.2992,11330,-416.7436,0.128,-634.7695,False,0,0,0,0,0
14.00674,109.1992,11330,-416.6305,0.12,-630.9194,False,0,0,0,0,0
14.50259,113.0991,11330,-416.4584,0.12,-627.0678,False,0,0,0,0,0
15.00165,116.9991,11330,-416.2293,0.12,-623.214,False,0,0,0,0,0
15.50433,120.899,11330,-415.9458,0.12,-619.3569,False,0,0,0,0,0
16.01161,124.799,11330,-415.6111,0.12,-615.4965,False,0,0,0,0,0
16.50786,128.699,11330,-415.2295,0.12,-611.6334,False,0,0,0,0,0
17.01112,132.5991,11330,-414.8058,0.12,-607.7657,False,0,0,0,0,0
17.51088,136.4993,11330,-414.3449,0.12,-603.8929,False,0,0,0,0,0
18.00551,140.3994,11330,-413.8521,0.12,-600.0142,False,0,0,0,0,0
18.50627,144.2995,11330,-413.3333,0.12,-596.1318,False,0,0,0,0,0
19.0157,148.1997,11330,-412.7958,0.12,-592.2447,False,0,0,0,0,0
19.502,152.0998,11330,-412.2458,0.12,-588.3517,False,0,0,0,0,0
20.00177,156,11330,-411.6895,0.12,-584.4521,False,0,0,0,0,0
20.50128,159.9001,11330,-411.1338,0.12,-580.5468,False,0,0,0,0,0
21.00334,163.8003,11330,-410.5864,0.12,-576.6382,False,0,0,0,0,0
21.50783,167.7004,11330,-410.0541,0.12,-572.7237,False,0,0,0,0,0
22.0116,171.6006,11330,-409.543,0.12,-568.803,False,0,0,0,0,0
22.50024,175.5007,11330,-409.0594,0.12,-564.8767,False,0,0,0,0,0
23.00002,179.4009,11330,-408.6096,0.12,-560.947,False,0,0,0,0,0
23.50269,183.301,11330,-408.1999,0.12,-557.0135,False,0,0,0,0,0
24.00447,187.2012,11330,-407.8351,0.12,-553.0751,False,0,0,0,0,0
24.5036,191.1013,11330,-407.5195,0.12,-549.1328,False,0,0,0,0,0
25.02934,195.1575,11330,-407.248,0.12,-545.0297,False,0,0,0,0,0
25.50792,198.9016,11330,-407.0522,0.12,-541.2408,False,0,0,0,0,0
26.00073,202.8017,11330,-406.9067,0.12,-537.2916,False,0,0,0,0,0
26.51015,206.7019,11330,-406.8225,0.12,-533.3409,False,0,0,0,0,0
27.00146,210.602,11330,-406.8007,0.12,-529.39,False,0,0,0,0,0
27.5137,214.5022,11330,-406.8418,0.12,-525.4394,False,0,0,0,0,0
28.0063,218.4023,11330,-406.9453,0.12,-521.489,False,0,0,0,0,0
28.50854,222.3025,11330,-407.1094,0.12,-517.5401,False,0,0,0,0,0
29.01457,226.2026,11330,-407.3322,0.12,-513.5938,False,0,0,0,0,0
29.51651,230.1028,11330,-407.6112,0.12,-509.65,False,0,0,0,0,0
30.00745,234.0029,11330,-407.9427,0.12,-505.7092,False,0,0,0,0,0
30.51117,237.9031,11330,-408.3221,0.12,-501.7713,False,0,0,0,0,0
31.01036,241.8032,11330,-408.7446,0.12,-497.8384,False,0,0,0,0,0
31.51424,245.7034,11330,-409.205,0.12,-493.9106,False,0,0,0,0,0
32.0018,249.6035,11330,-409.6979,0.12,-489.9873,False,0,0,0,0,0
32.51549,253.5036,11330,-410.2167,0.12,-486.0674,False,0,0,0,0,0
33.01573,257.4038,11330,-410.7545,0.12,-482.1534,False,0,0,0,0,0
33.50043,261.3039,11330,-411.3048,0.12,-478.2459,False,0,0,0,0,0
34.0076,265.2041,11330,-411.8611,0.12,-474.3445,False,0,0,0,0,0
34.50237,269.1042,11330,-412.4167,0.12,-470.4467,False,0,0,0,0,0
35.00946,273.0044,11330,-412.9638,0.12,-466.5542,False,0,0,0,0,0
35.50659,276.9045,11330,-413.496,0.12,-462.668,False,0,0,0,0,0
36.01221,280.8047,11330,-414.0069,0.12,-458.7879,False,0,0,0,0,0
