time,health,distance,holdout,spawned,x,y,z
0.09999847,11330,-1,False,0,0,0.12,-349.22
0.5041542,11330,-1,False,0,0,0.12,-345.9438
1.003494,11330,-1,False,0,0,0.12,-342.0437
1.506424,11330,-1,False,0,0,0.12,-338.1436
2.01181,8580,-1,False,0,0,0.12,-334.2434
2.508942,8580,-1,False,0,0,0.12,-330.3433
3.009705,8580,-1,False,0,0,0.12,-326.4431
3.508308,8580,-1,False,0,0,0.12,-322.543
4.023109,8580,-1,False,0,0,0.12,-318.4868
4.511299,8580,-1,False,0,0,0.12,-314.7427
5.014778,8580,-1,False,0,0,0.12,-310.8425
5.504219,8580,-1,False,0,0,0.12,-306.9424
6.005257,8580,-1,False,0,0,0.12,-303.0422
6.50946,8580,-1,False,0,0,0.12,-299.1421
7.015335,8580,-1,False,0,0,0.12,-295.2419
7.502876,8580,-1,False,0,0,0.12,-291.3418
8.00016,8580,-1,False,0,0,0.12,-287.5977
8.516899,8580,-1,False,0,0,0.12,-283.5415
9.008171,8580,-1,False,0,0,0.12,-279.6414
9.51252,8580,-1,False,0,0,0.12,-275.7412
10.00226,8580,-1,False,0,0,0.12,-271.8411
10.51221,6601,-1,False,0,0,0.12,-267.9409
11.00285,6601,-1,False,0,0,0.12,-264.0408
11.51251,6601,-1,False,0,0,0.12,-260.1406
12.02036,6601,-1,False,0,0,0.12,-256.2405
