time,health,distance,holdout,spawned,x,y,z
0.09999943,11330,-1,False,0,0,0.12,-419.22
0.5062685,11330,-1,False,0,-3.199805,0.12,-416.0999
1.000035,11330,-1,False,0,-3.2,0.12,-412.1997
1.502844,11330,-1,False,0,-3.2,0.12,-408.2996
2.003128,11330,-1,False,0,-3.2,0.12,-404.3994
2.504208,11330,-1,False,0,-3.2,0.12,-400.4993
3.003801,11330,-1,False,0,-3.2,0.12,-396.5991
3.514685,11330,-1,False,0,-3.2,0.12,-392.699
4.003043,11330,-1,False,0,-3.2,0.12,-388.7988
4.512181,11330,-1,False,0,-3.2,0.12,-384.8987
5.001452,11330,-1,False,0,-3.2,0.12,-380.9985
5.520225,11330,-1,False,0,-3.2,0.12,-376.9424
6.016009,11330,-1,False,0,-3.2,0.12,-373.1982
6.526443,11330,-1,False,0,-3.2,0.12,-369.1421
7.022782,11330,-1,False,0,-3.2,0.12,-365.2419
7.505076,11330,-1,False,0,-3.2,0.12,-361.4978
8.013984,11330,-1,False,0,-3.2,0.12,-357.5977
8.506644,11330,-1,False,0,-3.2,0.12,-353.6975
9.006085,11330,-1,False,0,-3.2,0.12,-349.7974
9.508899,11330,-1,False,0,-3.2,0.12,-345.8972
10.01353,11330,-1,False,0,-3.2,0.12,-341.9971
10.50578,11330,-1,False,0,-3.2,0.12,-338.0969
11.0091,11330,-1,False,0,-3.2,0.12,-334.1968
11.50679,11330,-1,False,0,-3.2,0.12,-330.2966
12.01035,11330,-1,False,0,-3.2,0.12,-326.3965
12.50065,11330,-1,False,0,-3.2,0.12,-322.4963
13.01291,11330,-1,False,0,-3.2,0.12,-318.5962
13.50969,11330,-1,False,0,-3.2,0.12,-314.696
14.00718,11330,-1,False,0,-3.2,0.12,-310.7959
14.5156,11330,-1,False,0,-3.2,0.12,-306.8958
15.01729,11330,-1,False,0,-3.2,0.12,-302.8396
15.50713,11330,-1,False,0,-3.2,0.12,-299.0955
16.014,11330,-1,False,0,-3.2,0.12,-295.1953
16.51915,11330,-1,False,0,-3.2,0.12,-291.1392
17.00514,11330,-1,False,0,-3.2,0.12,-287.395
17.52308,11330,-1,False,0,-3.2,0.12,-283.3389
